8/1/2011,12:00,Z,9000 TICKET ST,32.9142406,-117.1290698
8/1/2011,0:01,S,2900 NATIONAL AV,32.6959691,-117.1316382
8/1/2011,12:00,Z,5200 MT ARARAT DR,32.8105404,-117.1836396
8/1/2011,17:00,A,6200 FERRIS SQ,32.8906985,-117.1822465
8/1/2011,8:00,F,17500 MONTERO RD,33.0269662,-117.0560063
8/1/2011,0:00,F,1800 EAST GRAND AV,32.7987744,-117.2365798
8/1/2011,12:00,F,4000 46TH ST,32.749599,-117.0955439
8/1/2011,0:00,A,2300 UNION ST,32.7291414,-117.1677951
8/1/2011,0:00,Z,300 HOLLISTER ST,32.5919996,-117.0841051
8/1/2011,0:00,5,2700 FAIRMOUNT AV,32.7343909,-117.1011554
8/1/2011,12:00,Z,9000 TICKET ST,32.9142406,-117.1290698
8/1/2011,12:00,S,11100 ZAPATA AV,32.9240233,-117.147966
8/1/2011,8:00,Z,1400 SUNSET CLIFFS BL,32.7363239,-117.2548893
8/3/2011,12:00,6,2200 SEASIDE ST,32.7472957,-117.2390867
8/3/2011,12:00,Z,600 C ST,32.7167846,-117.1592621
8/4/2011,8:00,4,600 CHESTER ST,32.7113053,-117.0485115
8/5/2011,23:00,A,3800 MARQUETTE PL,32.7512338,-117.2198843
8/5/2011,8:00,F,5400 EL CAJON BL,32.7579672,-117.0792867
8/7/2011,19:30,6,11400 RAEDENE WY,32.9254064,-117.1066203
8/8/2011,8:00,5,600 MISSOURI ST,32.7999559,-117.2582223
8/9/2011,8:00,M,3200 J ST,32.7095835,-117.1252361
8/9/2011,0:00,M,10500 REAGAN RD,32.9095769,-117.1397648
8/10/2011,0:01,F,3300 30TH ST,32.7392896,-117.129352
8/10/2011,8:00,F,11300 MONTICOOK CT,33.041449,-117.0872698
8/11/2011,0:00,S,4000 42ND ST,32.7496678,-117.1045208
8/11/2011,12:00,5,4000 RIVIERA DR,32.7917523,-117.2413251
8/12/2011,17:00,5,9300 TWIN TRAILS DR,32.9564992,-117.1274217
8/12/2011,8:55,6,7000 FRIARS RD,32.7696862,-117.1690991
8/12/2011,13:42,Z,8900 MIRA MESA BL,32.9138706,-117.1329616
8/12/2011,15:00,M,7300 BROOKHAVEN RD,32.6941775,-117.0377407
8/13/2011,12:00,F,7000 FRIARS RD,32.7696862,-117.1690991
8/14/2011,0:30,S,1600 MESA BROOK ST,32.6917856,-117.0477908
8/15/2011,9:00,6,1400 01ST AV,32.7198922,-117.1638734
8/15/2011,12:00,Z,7100 NAVAJO RD,32.8046369,-117.0426528
8/15/2011,8:00,Z,2800 BELKNAP WY,32.730341,-117.2211983
8/15/2011,1:00,A,3600 KEARNY VILLA RD,32.8086707,-117.1513676
8/15/2011,0:00,M,5600 LA JOLLA BL,32.8138508,-117.2695963
8/15/2011,12:35,6,1200 INDIA ST,32.7177953,-117.1683291
8/15/2011,16:00,S,2900 NATIONAL AV,32.6959691,-117.1316382
8/16/2011,8:00,F,5600 ALBEMARLE ST,32.6748101,-117.0688937
